time	V(vds)
1.761742277336248e-006	2.918421e+002
1.763456563050375e-006	2.918427e+002
1.765170848764502e-006	2.918306e+002
1.766885134478629e-006	2.918060e+002
1.768599420192755e-006	2.917686e+002
1.770313705906882e-006	2.917187e+002
1.772027991621009e-006	2.916561e+002
1.773742277335136e-006	2.915809e+002
1.785170848762648e-006	2.907437e+002
1.796599420190160e-006	2.893601e+002
1.808027991617673e-006	2.874301e+002
1.819456563045185e-006	2.849538e+002
1.830885134472697e-006	2.819312e+002
1.842313705900209e-006	2.783622e+002
1.853742277327722e-006	2.742468e+002
1.866599420183673e-006	2.689193e+002
1.879456563039625e-006	2.630525e+002
1.892313705895576e-006	2.566465e+002
1.905170848751527e-006	2.497012e+002
1.918027991607479e-006	2.422166e+002
1.930885134463430e-006	2.341928e+002
1.943742277319381e-006	2.256298e+002
1.953027991604235e-006	2.192131e+002
1.962313705889088e-006	2.128122e+002
1.971599420173942e-006	2.064273e+002
1.980885134458796e-006	2.000583e+002
1.990170848743650e-006	1.937051e+002
1.999456563028503e-006	1.873678e+002
2.008742277313357e-006	1.810464e+002
2.009742277313265e-006	1.803894e+002
2.018027991598211e-006	1.750338e+002
2.026313705883157e-006	1.698336e+002
2.034599420168104e-006	1.647888e+002
2.042885134453050e-006	1.598995e+002
2.051170848737997e-006	1.551657e+002
2.059456563022943e-006	1.505873e+002
2.067742277307889e-006	1.461643e+002
2.080027991592465e-006	1.398905e+002
2.092313705877041e-006	1.337514e+002
2.104599420161617e-006	1.277472e+002
2.116885134446192e-006	1.218777e+002
2.129170848730768e-006	1.161430e+002
2.141456563015344e-006	1.105431e+002
2.153742277299919e-006	1.050779e+002
2.165885134441651e-006	9.966510e+001
2.178027991583383e-006	9.425572e+001
2.190170848725115e-006	8.884977e+001
2.202313705866846e-006	8.344725e+001
2.214456563008579e-006	7.804817e+001
2.226599420150310e-006	7.265252e+001
2.238742277292042e-006	6.726030e+001
2.242170848720296e-006	6.572737e+001
2.245599420148549e-006	6.419783e+001
2.249027991576803e-006	6.267167e+001
2.252456563005057e-006	6.114890e+001
2.255885134433310e-006	5.962951e+001
2.259313705861564e-006	5.811351e+001
2.262742277289818e-006	5.660089e+001
2.265170848718164e-006	5.553205e+001
2.267599420146511e-006	5.448741e+001
2.270027991574857e-006	5.346697e+001
2.272456563003203e-006	5.247074e+001
2.274885134431549e-006	5.149871e+001
2.277313705859896e-006	5.055088e+001
2.279742277288242e-006	4.962725e+001
2.281742277288057e-006	4.890903e+001
2.283742277287872e-006	4.821741e+001
2.285742277287686e-006	4.755240e+001
